player,score
Scottie Scheffler,-8
Rory Mcilroy,-11
Collin Morikawa,-3
Jon Rahm,-3
Byson Dechambeau,-7
Ludvig Aberg,-6
Xander Shauffele,-5
Jordan Speith,-3
Joaquin Niemann,0
Viktor Hovland,-2
Brooks Koepka,-13
Tommy Fleetwood,-2
Patrick Cantlay,2
Shane Lowry,4
Will Zalatoris,-6
Min Woo Lee,6
Cameron Smith,2
Russel Henley,-7
Robert Macintyre,-3
Ashkay Bhatia,4
Patrick Reed,-9
Sepp Straka,2
Dustin Johnson ,-4
Jason Day,-5
Sahith Theegala,0
Sergio Garcia,2
Tom Kim ,9
Brian Harman ,2
Corey Connors,-5
Keegan Bradley,21
Phil Mickelson,19
Cameron Young,22
Adam Scott,2
JJ Spaun,7
Daniel Berger,-2
Sam Burns,5
Billy Horschel ,-4
Aaron Rai ,-1
Michael Kim,-1
Denny Mccarthy,0
Christiaan Bezuidenhout,-2
Harris English ,-4
Cameron Davis,19
Lucas Glover,21
Nick Taylor,3
Austin Eckroat,21
Tom Hoge,-3
JT Potson ,4
Charl Schwartzel ,2
Joe Highsmith,21
Matthieu Pavon,0
Stephen Jaegar,9
Danny Willett,4
Bubba Watson ,-3
Angel Cabrera,-1
